time_sec,angle_x,angle_y,angle_z
77.754,93.1008,-11.0521,-103.3853
77.873,93.1008,-11.0521,-103.3853
77.995,93.1356,-11.0770,-103.3922
78.113,93.1790,-11.1011,-103.4078
78.240,93.2143,-11.1317,-103.4026
78.359,93.2491,-11.1494,-103.4165
78.486,93.2756,-11.1595,-103.4234
78.604,93.3161,-11.1766,-103.4302
78.722,93.3251,-11.1856,-103.4260
78.844,93.3686,-11.2096,-103.4416
78.963,93.3983,-11.2337,-103.4506
79.089,93.4191,-11.2559,-103.4569
79.208,93.4542,-11.2765,-103.4649
79.335,93.4981,-11.3034,-103.4747
79.453,93.4896,-11.3000,-103.4669
79.572,93.4896,-11.3000,-103.4669
79.693,93.4981,-11.3034,-103.4747
79.812,93.5100,-11.3237,-103.4785
79.939,93.5396,-11.3522,-103.4868
80.058,93.5663,-11.3693,-103.4870
80.184,93.5838,-11.3746,-103.4975
80.303,93.5871,-11.3844,-103.5003
