time_sec,world_x,world_y,world_z,local_x,local_y,local_z,rot_x,rot_y,rot_z
21.844,581.6313,5.4260,304.4793,0.2510,3.8000,-0.4500,13.8395,185.4520,12.6823
21.947,581.5790,5.5404,304.6591,0.2510,3.8001,-0.4500,13.6334,185.4064,11.7574
22.051,581.5200,5.6457,304.8436,0.2510,3.8000,-0.4500,13.1832,185.3142,10.8507
22.156,581.4551,5.7409,305.0348,0.2510,3.8000,-0.4500,12.4949,185.1848,9.9806
22.261,581.3707,5.8406,305.2755,0.2510,3.8000,-0.4500,11.3649,184.9922,9.0087
22.367,581.2955,5.9101,305.4868,0.2510,3.8000,-0.4500,10.1795,184.8092,8.2760
22.471,581.2168,5.9661,305.7088,0.2510,3.8000,-0.4500,8.7849,184.6121,7.6252
22.576,581.1353,6.0073,305.9418,0.2510,3.8000,-0.4500,7.1974,184.4058,7.0629
22.684,581.0345,6.0357,306.2358,0.2510,3.8000,-0.4500,5.0719,184.1520,6.5077
22.789,580.9483,6.0407,306.4919,0.2510,3.8000,-0.4500,3.1563,183.9394,6.1405
22.894,580.8607,6.0282,306.7571,0.2510,3.8000,-0.4500,1.1568,183.7295,5.8512
22.998,580.7714,5.9985,307.0299,0.2510,3.8000,-0.4500,359.1276,183.5257,5.6267
23.102,580.6626,5.9413,307.3650,0.2510,3.8000,-0.4500,356.7410,183.2949,5.4196
23.209,580.5706,5.8777,307.6486,0.2510,3.8000,-0.4500,354.8696,183.1192,5.2777
23.315,580.4774,5.8022,307.9347,0.2510,3.8000,-0.4500,353.1742,182.9637,5.1443
23.418,580.3834,5.7179,308.2220,0.2510,3.8000,-0.4500,351.7137,182.8328,5.0025
23.524,580.2695,5.6093,308.5671,0.2510,3.8000,-0.4500,350.3395,182.7133,4.8024
23.629,580.1737,5.5167,308.8545,0.2510,3.8000,-0.4500,349.5512,182.6473,4.5998
23.737,580.0779,5.4268,309.1410,0.2510,3.8000,-0.4500,349.1689,182.6166,4.4104
23.846,579.9641,5.3281,309.4845,0.2510,3.8000,-0.4500,349.1773,182.6172,4.3300
23.950,579.8658,5.2459,309.7692,0.2510,3.8000,-0.4500,349.4071,182.6338,3.8807
24.054,579.7675,5.1718,310.0526,0.2510,3.8000,-0.4500,349.9275,182.6674,3.4225
24.160,579.6689,5.1052,310.3349,0.2510,3.8000,-0.4500,350.6544,182.7085,2.9625
24.264,579.5497,5.0341,310.6721,0.2510,3.8000,-0.4500,351.6555,182.7557,2.3783
24.368,579.4490,4.9835,310.9514,0.2510,3.8000,-0.4500,352.6054,182.7910,1.8417
24.472,579.3467,4.9440,311.2276,0.2510,3.8000,-0.4500,353.8072,182.8234,1.2433
24.577,579.2424,4.9188,311.4991,0.2510,3.8000,-0.4500,355.3595,182.8480,0.5764
24.686,579.1138,4.9086,311.8168,0.2510,3.8000,-0.4500,357.6523,182.8530,359.6813
24.791,579.0029,4.9151,312.0737,0.2510,3.8000,-0.4500,359.8014,182.8256,358.8559
24.896,578.8881,4.9323,312.3232,0.2510,3.8000,-0.4500,2.0274,182.7639,357.9619
25.002,578.7447,4.9622,312.6135,0.2510,3.8000,-0.4500,4.6233,182.6458,356.8126
25.106,578.6206,4.9912,312.8491,0.2510,3.8000,-0.4500,6.6031,182.5179,355.8120
25.211,578.4927,5.0210,313.0803,0.2510,3.8000,-0.4500,8.3380,182.3746,354.7991
25.317,578.3615,5.0498,313.3086,0.2510,3.8000,-0.4500,9.7833,182.2289,353.8047
25.420,578.2001,5.0813,313.5808,0.2510,3.7999,-0.4500,11.1043,182.0703,352.6830
25.524,578.0635,5.1042,313.8079,0.2510,3.8000,-0.4500,11.8544,181.9666,351.8477
25.632,577.9255,5.1238,314.0363,0.2510,3.8001,-0.4500,12.2903,181.9002,351.1371
25.739,577.7874,5.1399,314.2669,0.2510,3.8001,-0.4500,12.4214,181.8788,350.5792
25.850,577.6221,5.1547,314.5479,0.2510,3.8000,-0.4500,12.1918,181.9191,350.1423
25.954,577.4858,5.1629,314.7864,0.2510,3.8000,-0.4500,11.6901,182.0091,349.9894
26.063,577.3254,5.1669,315.0787,0.2510,3.8000,-0.4500,10.7288,182.1817,350.0684
26.169,577.1951,5.1636,315.3282,0.2510,3.8000,-0.4500,9.6375,182.3733,350.3427
26.274,577.0684,5.1519,315.5837,0.2510,3.8000,-0.4500,8.2901,182.6002,350.7770
26.379,576.9462,5.1291,315.8456,0.2510,3.8000,-0.4500,6.6971,182.8532,351.3278
26.483,576.8054,5.0829,316.1683,0.2510,3.8000,-0.4500,4.4863,183.1772,352.0682
26.588,576.6921,5.0257,316.4432,0.2510,3.8000,-0.4500,2.4298,183.4527,352.6865
26.697,576.5822,4.9492,316.7224,0.2510,3.8000,-0.4500,0.2255,183.7243,353.2512
26.797,576.4749,4.8524,317.0041,0.2510,3.8000,-0.4500,357.9307,183.9860,353.7208
26.900,576.3481,4.7102,317.3427,0.2510,3.8000,-0.4500,355.1520,184.2817,354.1223
27.004,576.2437,4.5715,317.6232,0.2510,3.8000,-0.4500,352.9019,184.5105,354.3150
27.108,576.1396,4.4176,317.9005,0.2510,3.8000,-0.4500,350.7895,184.7211,354.3991
27.214,576.0359,4.2524,318.1736,0.2510,3.8000,-0.4500,348.8812,184.9108,354.4146
27.319,575.9323,4.0804,318.4424,0.2510,3.8000,-0.4500,347.2311,185.0758,354.4142
27.423,575.8081,3.8721,318.7599,0.2510,3.8000,-0.4500,345.6480,185.2345,354.4750
27.527,575.7050,3.7026,319.0219,0.2510,3.8000,-0.4500,344.6890,185.3293,354.6455
27.633,575.6024,3.5419,319.2831,0.2510,3.8000,-0.4500,344.0686,185.3881,354.9838
27.738,575.5007,3.3945,319.5451,0.2510,3.8000,-0.4500,343.7831,185.4131,355.5366
27.843,575.3802,3.2407,319.8625,0.2510,3.8000,-0.4500,343.8545,185.4085,356.5333
27.948,575.2823,3.1350,320.1307,0.2510,3.8000,-0.4500,344.2062,185.3902,357.6646
28.051,575.1879,3.0519,320.4029,0.2510,3.8000,-0.4500,344.7465,185.3743,359.0746
28.156,575.0984,2.9924,320.6791,0.2510,3.8000,-0.4500,345.4079,185.3733,0.7556
28.266,575.0003,2.9539,321.0151,0.2510,3.8000,-0.4500,346.3180,185.4049,3.1071
28.374,574.9286,2.9499,321.2973,0.2510,3.8000,-0.4500,347.1683,185.4692,5.3143
28.479,574.8686,2.9711,321.5794,0.2510,3.8001,-0.4500,348.0994,185.5780,7.7026
28.584,574.8140,3.0271,321.9151,0.2510,3.8000,-0.4500,349.3018,185.7771,10.7256
28.692,574.7842,3.0954,322.1895,0.2510,3.8000,-0.4500,350.3394,186.0014,13.2916
28.799,574.7691,3.1789,322.4568,0.2510,3.8000,-0.4500,351.3671,186.2717,15.8172
28.903,574.7688,3.2930,322.7659,0.2510,3.7999,-0.4500,352.5296,186.6363,18.6891
29.006,574.7814,3.3947,323.0126,0.2510,3.7999,-0.4500,353.3988,186.9513,20.8760
29.110,574.8033,3.4991,323.2495,0.2510,3.8000,-0.4500,354.1523,187.2552,22.8257
29.216,574.8326,3.6037,323.4765,0.2510,3.8001,-0.4500,354.7776,187.5304,24.5098
